Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,EPU,EPU_pred,Erro
2019,6,0.0014243290373591744,0.0015583280579826021,0.0013860801898771173,-0.0005285750568218517,150.2109974834676,154.27988239711954,3.3052267101095265
2019,7,0.0014352647618139987,0.0015513214629946591,0.0013988216939048801,-0.0005692902593403276,151.8198154962554,156.11240956096321,1.1220605938515282
2019,8,0.0014439836754029747,0.0015440386132021498,0.0014084678529268037,-0.0006066987514235251,154.29714096040726,157.7413299313031,0.603139079781482
2019,9,0.0014459044092307752,0.0015328236586948517,0.0014088304036739081,-0.0006303743038491475,162.003440416024,160.71832605513373,0.608268169853764
2019,10,0.0014428040749258056,0.0015148566478160122,0.001402560331454939,-0.0006496141052465003,172.07786938321584,167.2824305869181,0.6927094269807055
2019,11,0.0014337778385989364,0.0014913358332023384,0.0013928673387092136,-0.0006728066740475855,175.33978686331818,173.90485736989262,4.279793716588298
2019,12,0.001414885740049721,0.0014636474032080253,0.0013781783680147776,-0.0006953822104135487,185.28123655265577,198.4017101096485,4.2534962343572005
2020,1,0.0013947426074139052,0.0014410909721274386,0.0013686297731626896,-0.0007256524566507974,211.3418028419706,210.28027518438853,1.6123705820926972
2020,2,0.001382543665682913,0.00142809624957163,0.001375766797220619,-0.0007734324695109889,241.40309866586006,233.5060558527365,3.5360473081164763
2020,3,0.0013761881138232863,0.0014184443657586287,0.00138971843777765,-0.0008273641875190628,268.61583759025547,253.53743193143384,10.152585916811189
2020,4,0.0013701589966531552,0.001409672760765806,0.0013987044114239192,-0.0008682938706045496,278.75417039264335,262.1077382656878,5.130016491064953
2020,5,0.001366650422304878,0.001406587173906262,0.0014024417715967244,-0.0008811500577530631,267.1586633621636,255.37242735443402,9.83395339466488
2020,6,0.001371974711960004,0.0014157923915313353,0.0014054195030652821,-0.0008629666859416525,251.14477283458078,247.7462586691044,5.182905551266539
2020,7,0.0013804290003143883,0.001427566729289021,0.0013989859352422649,-0.0008158373169799944,236.93798146703287,231.0784172204421,8.76397381002307
2020,8,0.0013879724191545218,0.001438797932071227,0.0013840319066217295,-0.0007541651936439279,235.21795522064863,219.77131994666505,14.611328247164609
2020,9,0.0014105843839087762,0.001478682072927869,0.0013885783218991826,-0.0006869908764304444,255.35146625950162,233.30123069312248,5.792085363287754
2020,10,0.0014581549168136748,0.001746182015845985,0.001455589331461285,-0.0013327318472495524,273.20430269503345,272.86524122408906,8.814080813792055
2020,11,0.003145398973972281,0.003501323598066016,0.0033697055874146228,-0.0019296774613484066,272.3090235182578,254.6430319456458,6.908884774056661
2020,12,0.004274601007399986,0.0044873101631033845,0.004296758409187251,-0.002367871625319954,259.5700398437078,243.1481099612196,9.186495837224037
2021,1,0.00514134233756595,0.0053808805175400536,0.005154647218394944,-0.002860822340652147,235.6790079756138,215.4135576289314,5.845274946283908
2021,2,0.006510025086068816,0.0067321620576989835,0.006485883303328504,-0.003336442216196815,205.90083841270211,195.07852147519299,2.3746993818489432
2021,3,0.006998326684374839,0.0072691093210118475,0.007009843482432641,-0.004000418353618643,175.93081288165575,178.45662904058128,4.181457197287704
2021,4,0.006699250633092362,0.00780605658432593,0.00753380366155064,-0.0046861202753391545,146.25095745449056,161.04978200312402,6.596536640773816
2021,5,0.007938686300989418,0.008343003847638687,0.008057763840586131,-0.005377156425866663,116.83383639253722,133.3588370605147,9.74465714394988
2021,6,0.011827482794391454,0.008879951110952751,0.008581724019686522,-0.00607693368844789,,133.35883706051467,9.744657143949878
